source,category,qid,type,question,optionA,optionB,optionC,optionD,optionE,optionF,correct,feedback,tags
hlthcr,Medicare vs. Medicaid,Q-CON-001,tf,"Medicare eligibility is based mainly on age (65 and older), while Medicaid eligibility is based mainly on income.",,,,,,,True,"Medicare is primarily for people 65+, whereas Medicaid eligibility is based on income and household size.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-002,tf,Medicaid is primarily intended for people with low income.,,,,,,,True,"Medicaid provides health coverage to eligible low-income adults, children, pregnant women, elderly adults, and people with disabilities.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-003,tf,Medicare's basic rules are set separately by each individual state.,,,,,,,False,"Medicare is a purely federal program administered nationwide by CMS, so its basic rules are the same in every state.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-004,tf,Medicaid is funded jointly by the federal government and the states.,,,,,,,True,Medicaid is a joint federal-state program; the federal share is set by the Federal Medical Assistance Percentage (FMAP).,basic
hlthcr,Medicare vs. Medicaid,Q-CON-005,tf,"Medicare is administered nationwide by CMS, a federal agency within HHS.",,,,,,,True,"Medicare is administered by the Centers for Medicare & Medicaid Services (CMS), a federal agency within HHS.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-006,tf,Original Medicare is the main program that pays for long-term nursing home (custodial) care.,,,,,,,False,"Medicaid, not Medicare, is the primary payer for long-term services and supports; Original Medicare generally does not cover long-term custodial care.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-007,tf,Medicaid is the primary payer for long-term services and supports in the United States.,,,,,,,True,"Medicaid is the nation's primary payer for long-term services and supports (LTSS), including nursing home care.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-008,tf,"Parts A, B, C, and D are all parts of Medicare.",,,,,,,True,"Medicare has four parts: A (hospital), B (medical), C (Medicare Advantage), and D (prescription drugs).",basic
hlthcr,Medicare vs. Medicaid,Q-CON-009,tf,"Medicaid is divided into Part A and Part B, just like Medicare.",,,,,,,False,Medicaid does not use the lettered Part A/B/C/D structure; that structure belongs to Medicare. Medicaid's companion program for children is CHIP.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-010,tf,Medicare Part C (Medicare Advantage) plans are offered by private companies approved by Medicare.,,,,,,,True,Medicare Advantage (Part C) is an alternative to Original Medicare offered by Medicare-approved private companies.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-011,tf,CHIP provides low-cost health coverage to children.,,,,,,,True,The Children's Health Insurance Program (CHIP) provides low-cost coverage to children in families that earn too much for Medicaid but cannot afford private insurance.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-012,tf,A person can be enrolled in both Medicare and Medicaid at the same time.,,,,,,,True,"People enrolled in both programs are called 'dually eligible' individuals, so a person can have both at once.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-013,tf,"For someone enrolled in both programs, Medicaid pays first and Medicare pays last.",,,,,,,False,"For dual eligibles, Medicare pays first for services it covers and Medicaid is generally the payer of last resort.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-014,tf,Medicare Part B requires a monthly premium.,,,,,,,True,Medicare Part B (Medical Insurance) requires a monthly premium; for 2026 the standard premium is $202.90.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-015,tf,"Because Medicaid is run by the states, eligibility and covered benefits can vary from state to state.",,,,,,,True,"Each state administers its own Medicaid program within federal rules, so eligibility details and benefits can vary by state.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-016,mc,Which program is primarily for people age 65 and older?,Medicare,Medicaid,CHIP,The Health Insurance Marketplace,,,A,Medicare is the federal program primarily for people age 65 and older.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-017,mc,Which program bases eligibility mainly on a person's income?,Medicare,Medicaid,Medicare Part C,Medicare Part D,,,B,Medicaid eligibility is based mainly on income and household size.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-018,mc,Which statement best describes how the two programs are administered?,Both are purely federal and uniform nationwide,Both are run entirely by the states,Medicare is federal and uniform; Medicaid is state-run and varies by state,Medicare is state-run; Medicaid is purely federal,,,C,"Medicare is administered federally by CMS (uniform nationwide), while Medicaid is administered by each state within federal rules (so it varies).",basic
hlthcr,Medicare vs. Medicaid,Q-CON-019,mc,How is Medicaid funded?,Entirely by the federal government,Entirely by state governments,Entirely by employer premiums,Jointly by the federal government and the states,,,D,"Medicaid is funded jointly by the federal government and the states, with the federal share set by the FMAP.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-020,mc,Which agency administers Medicare across the country?,The Centers for Medicare & Medicaid Services (CMS),Each state's health department,The Internal Revenue Service (IRS),Private insurance companies acting alone,,,A,"Medicare is administered nationwide by CMS, a federal agency within HHS.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-021,mc,Which program is the main payer for long-term nursing home care in the U.S.?,Medicare,Medicaid,CHIP,Commercial insurance,,,B,"Medicaid is the nation's primary payer for long-term services and supports, including nursing home care.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-022,mc,A patient needs several years of custodial nursing-home care. Which program is most likely to pay for it?,Medicare Part A,Medicare Part B,Medicaid,Medicare Part D,,,C,"Long-term custodial care is generally paid by Medicaid, the primary payer for long-term services and supports.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-023,mc,Which list correctly names the four parts of Medicare?,"Part 1, Part 2, Part 3, Part 4",Part A and Part B only,"Part A, Part B, Part C, Part D, and Part E","Part A, Part B, Part C, Part D",,,D,"Medicare has four parts: A, B, C, and D.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-024,mc,Medicare Part C is also known by what name?,Medicare Advantage,Medigap,Medicaid,CHIP,,,A,"Medicare Part C is also called Medicare Advantage, offered by Medicare-approved private companies.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-025,mc,What does Medicare Part D cover?,Inpatient hospital stays,Prescription drugs,Long-term nursing home care,Doctor office visits,,,B,Medicare Part D is optional prescription drug coverage offered through private companies approved by Medicare.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-026,mc,Which statement about Medicaid's structure is correct?,"Medicaid is divided into Parts A, B, C, and D like Medicare",Medicaid only covers prescription drugs,Medicaid has no lettered parts and pairs with CHIP for children,Medicaid is identical to Medicare,,,C,Medicaid does not use lettered parts; its companion program for children is CHIP.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-027,mc,Whom does CHIP primarily cover?,Adults age 65 and older,Military veterans,Large employers,Children in families that earn too much for Medicaid but cannot afford private insurance,,,D,CHIP provides low-cost coverage to children in families earning too much for Medicaid but unable to afford private insurance.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-028,mc,Which statement about cost is true?,Medicare Part B has a monthly premium,Medicare is always completely free,Medicare never charges any premiums,Only Medicaid charges premiums,,,A,"Medicare Part B requires a monthly premium ($202.90 in 2026), plus deductibles and coinsurance for many services.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-029,mc,"For a person with very low income, which program typically costs the patient little or nothing?",Medicare,Medicaid,A commercial PPO plan,Medicare Part C,,,B,Medicaid is designed for people with limited income and generally costs the beneficiary little or nothing.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-030,mc,People who are enrolled in both Medicare and Medicaid at the same time are called what?,Dependents,Subscribers,Dual eligibles,Self-pay patients,,,C,People enrolled in both Medicare and Medicaid are called dually eligible (or dual eligible) individuals.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-031,mc,"For a dual-eligible person, which program pays first for a covered service?",Medicaid,CHIP,The patient pays first,Medicare,,,D,"For dual eligibles, Medicare pays first for services it covers.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-032,mc,The phrase 'payer of last resort' for dual eligibles refers to which program?,Medicaid,Medicare,Commercial insurance,CHIP,,,A,"Medicaid is generally the payer of last resort, paying after Medicare and other coverage.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-033,mc,"For dual eligibles, Medicaid often helps pay which Medicare costs?",Nothing at all,Medicare premiums and cost-sharing,Only prescriptions bought outside the U.S.,Hospital meal charges only,,,B,"For dually eligible individuals, Medicaid helps pay Medicare premiums and cost-sharing and covers gaps like long-term care.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-034,mc,Which statement correctly contrasts the two programs?,Medicare is income-based; Medicaid is age-based,Both are age-based,Medicare is age-based; Medicaid is income-based,Both are income-based,,,C,"Medicare is based mainly on age (65+), while Medicaid is based mainly on income.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-035,mc,A financially well-off 70-year-old retiree is generally eligible for which program?,Medicaid,CHIP,Neither program,Medicare,,,D,"Medicare eligibility is based on age, so a 70-year-old qualifies regardless of income.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-036,mc,A low-income 30-year-old parent with little income might qualify for which program?,Medicaid,Medicare,Medicare Part B,Medicare Advantage,,,A,"Medicaid is income-based, so a low-income adult may qualify even though they are far from age 65.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-037,mc,A Medicare Advantage (Part C) plan typically bundles which coverage together?,Only Part A,"Part A, Part B, and usually Part D",Only prescription drugs,Only long-term care,,,B,Medicare Advantage plans are bundled and include Part A and Part B and usually Part D drug coverage.,basic
hlthcr,Medicare vs. Medicaid,Q-CON-038,mc,Why can Medicaid benefits differ depending on the state you live in?,Because Medicaid is federally uniform,Because hospitals set Medicaid rules,Because each state runs its own Medicaid program within federal rules,Because benefits are priced by ZIP code,,,C,"Each state administers its own Medicaid program within federal requirements, so eligibility and benefits can vary.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-039,mc,Which program has essentially the same basic rules in every state?,Medicaid,CHIP,Employer-sponsored insurance,Medicare,,,D,"Medicare is federally administered by CMS, so its basic rules are uniform nationwide.",basic
hlthcr,Medicare vs. Medicaid,Q-CON-040,mc,Which is a key difference in what the two programs cover?,"Medicaid, not Medicare, is the main payer for long-term care",Only Medicare covers doctor visits,Only Medicaid covers hospital stays,Neither program covers preventive care,,,A,"Both cover doctors and hospitals, but Medicaid is the primary payer for long-term care, which Original Medicare generally does not cover.",basic
